iter	Passed	Remaining
0	22	22248
1	54	27362
2	146	48781
3	164	40911
4	191	38026
5	214	35498
6	238	33785
7	263	32643
8	288	31721
9	297	29474
10	318	28640
11	342	28195
12	366	27845
13	381	26843
14	405	26606
15	418	25710
16	441	25513
17	464	25353
18	488	25219
19	512	25091
20	536	25007
21	563	25057
22	594	25256
23	620	25230
24	646	25198
25	670	25117
26	696	25089
27	720	25018
28	729	24432
29	754	24409
30	779	24352
31	793	23999
32	817	23965
33	840	23876
34	863	23805
35	887	23768
36	911	23716
37	934	23666
38	957	23604
39	982	23576
40	1006	23549
41	1033	23578
42	1057	23525
43	1080	23475
44	1105	23469
45	1130	23436
46	1140	23132
47	1197	23742
48	1224	23770
49	1248	23730
50	1272	23676
51	1297	23652
52	1322	23627
53	1346	23587
54	1371	23561
55	1395	23529
56	1420	23492
57	1432	23270
58	1461	23304
59	1487	23304
60	1511	23271
61	1536	23240
62	1560	23215
63	1585	23182
64	1608	23143
65	1633	23121
66	1657	23084
67	1681	23049
68	1705	23015
69	1714	22782
70	1740	22774
71	1764	22736
72	1787	22697
73	1811	22668
74	1835	22637
75	1860	22614
76	1884	22585
77	1908	22556
78	1917	22353
79	1940	22317
80	1963	22276
81	1986	22236
82	2011	22224
83	2038	22228
84	2065	22237
85	2094	22264
86	2119	22240
87	2144	22225
88	2170	22212
89	2228	22535
90	2258	22564
91	2301	22719
92	2326	22691
93	2353	22680
94	2379	22672
95	2405	22648
96	2414	22475
97	2439	22452
98	2465	22436
99	2490	22417
100	2517	22412
101	2544	22397
102	2551	22217
103	2575	22189
104	2588	22066
105	2605	21973
106	2629	21942
107	2654	21920
108	2680	21907
109	2704	21885
110	2728	21849
111	2751	21817
112	2777	21801
113	2808	21829
114	2832	21798
115	2855	21763
116	2880	21735
117	2885	21565
118	2911	21554
119	2937	21540
120	2963	21525
121	2988	21510
122	3018	21523
123	3042	21494
124	3066	21464
125	3089	21433
126	3114	21406
127	3139	21384
128	3163	21358
129	3173	21235
130	3196	21205
131	3213	21127
132	3270	21322
133	3318	21443
134	3347	21450
135	3372	21425
136	3391	21365
137	3414	21328
138	3438	21301
139	3463	21277
140	3488	21251
141	3529	21323
142	3553	21295
143	3566	21199
144	3592	21186
145	3617	21161
146	3626	21045
147	3649	21011
148	3673	20982
149	3697	20953
150	3720	20920
151	3743	20887
152	3768	20861
153	3792	20832
154	3816	20804
155	3840	20775
156	3864	20749
157	3880	20680
158	3904	20649
159	3927	20620
160	3950	20586
161	3972	20548
162	3995	20517
163	4005	20416
164	4028	20388
165	4053	20364
166	4077	20340
167	4101	20311
168	4124	20280
169	4147	20251
170	4160	20169
171	4184	20144
172	4208	20117
173	4234	20099
174	4261	20090
175	4289	20083
176	4348	20220
177	4375	20207
178	4389	20133
179	4401	20053
180	4425	20026
181	4450	20002
182	4477	19990
183	4504	19978
184	4531	19963
185	4557	19943
186	4582	19920
187	4605	19892
188	4629	19866
189	4647	19812
190	4670	19782
191	4694	19755
192	4703	19667
193	4729	19648
194	4755	19631
195	4779	19606
196	4810	19608
197	4820	19523
198	4843	19494
199	4868	19472
200	4889	19435
201	4913	19411
202	4937	19383
203	4960	19356
204	4985	19333
205	5007	19299
206	5030	19271
207	5055	19249
208	5070	19188
209	5099	19185
210	5126	19168
211	5152	19151
212	5177	19131
213	5192	19069
214	5212	19032
215	5236	19004
216	5260	18980
217	5284	18956
218	5307	18927
219	5331	18901
220	5390	18999
221	5418	18990
222	5446	18976
223	5471	18955
224	5495	18930
225	5520	18906
226	5544	18881
227	5568	18854
228	5592	18828
229	5616	18803
230	5642	18783
231	5666	18757
232	5682	18704
233	5704	18674
234	5728	18647
235	5751	18618
236	5774	18591
237	5798	18564
238	5821	18537
239	5845	18510
240	5868	18482
241	5892	18458
242	5917	18433
243	5942	18410
244	5966	18385
245	5991	18363
246	6015	18337
247	6039	18314
248	6062	18286
249	6086	18260
250	6112	18238
251	6136	18214
252	6162	18195
253	6176	18141
254	6202	18119
255	6226	18095
256	6250	18070
257	6276	18050
258	6301	18027
259	6326	18006
260	6351	17982
261	6375	17959
262	6401	17938
263	6469	18036
264	6500	18029
265	6527	18011
266	6555	17995
267	6581	17975
268	6606	17951
269	6631	17928
270	6655	17903
271	6686	17896
272	6711	17872
273	6736	17848
274	6760	17823
275	6785	17800
276	6812	17782
277	6836	17755
278	6861	17730
279	6886	17708
280	6912	17686
281	6937	17664
282	6961	17637
283	6980	17598
284	7004	17573
285	7030	17551
286	7056	17529
287	7084	17515
288	7130	17543
289	7159	17527
290	7186	17509
291	7213	17490
292	7239	17468
293	7266	17448
294	7292	17427
295	7317	17403
296	7345	17387
297	7369	17360
298	7393	17334
299	7417	17308
300	7442	17283
301	7506	17349
302	7533	17330
303	7569	17329
304	7595	17306
305	7619	17279
306	7642	17252
307	7667	17226
308	7692	17201
309	7716	17176
310	7744	17156
311	7770	17135
312	7795	17109
313	7819	17082
314	7843	17056
315	7868	17030
316	7891	17002
317	7914	16973
318	7937	16945
319	7961	16918
320	7987	16894
321	8010	16866
322	8033	16837
323	8057	16810
324	8081	16785
325	8105	16758
326	8129	16731
327	8153	16704
328	8179	16682
329	8203	16656
330	8227	16629
331	8253	16606
332	8277	16580
333	8303	16557
334	8327	16531
335	8351	16504
336	8376	16478
337	8401	16454
338	8425	16428
339	8452	16408
340	8481	16390
341	8550	16451
342	8612	16497
343	8642	16481
344	8671	16462
345	8698	16442
346	8726	16421
347	8753	16401
348	8779	16377
349	8806	16355
350	8831	16330
351	8855	16302
352	8881	16277
353	8905	16250
354	8929	16223
355	8954	16197
356	8979	16172
357	9003	16146
358	9028	16119
359	9052	16093
360	9077	16067
361	9102	16042
362	9126	16015
363	9150	15988
364	9175	15962
365	9200	15936
366	9224	15910
367	9254	15893
368	9289	15884
369	9320	15870
370	9349	15850
371	9378	15832
372	9403	15806
373	9427	15779
374	9449	15749
375	9473	15722
376	9501	15701
377	9526	15676
378	9551	15651
379	9577	15627
380	9606	15606
381	9670	15644
382	9698	15623
383	9724	15600
384	9749	15573
385	9776	15551
386	9801	15525
387	9825	15497
388	9852	15475
389	9878	15450
390	9902	15423
391	9929	15400
392	9953	15373
393	9978	15347
394	10004	15322
395	10028	15295
396	10053	15270
397	10078	15244
398	10101	15216
399	10125	15188
400	10150	15162
401	10174	15134
402	10199	15109
403	10223	15082
404	10250	15059
405	10275	15033
406	10303	15012
407	10329	14987
408	10353	14960
409	10377	14934
410	10403	14909
411	10428	14883
412	10452	14855
413	10477	14830
414	10503	14805
415	10529	14781
416	10555	14757
417	10580	14731
418	10605	14705
419	10630	14679
420	10653	14652
421	10719	14681
422	10747	14660
423	10773	14635
424	10799	14610
425	10826	14588
426	10851	14561
427	10876	14535
428	10901	14510
429	10928	14487
430	10953	14460
431	10980	14437
432	11004	14409
433	11027	14380
434	11051	14354
435	11077	14329
436	11101	14302
437	11125	14275
438	11150	14248
439	11173	14221
440	11199	14195
441	11223	14168
442	11246	14140
443	11269	14112
444	11293	14085
445	11317	14058
446	11344	14034
447	11368	14007
448	11392	13980
449	11417	13954
450	11441	13927
451	11465	13900
452	11490	13874
453	11515	13849
454	11540	13822
455	11564	13795
456	11588	13768
457	11612	13741
458	11636	13715
459	11660	13688
460	11685	13662
461	11712	13639
462	11778	13661
463	11806	13638
464	11830	13611
465	11854	13583
466	11879	13558
467	11903	13531
468	11927	13504
469	11951	13477
470	11976	13451
471	12001	13425
472	12025	13398
473	12050	13372
474	12074	13345
475	12099	13319
476	12123	13292
477	12146	13264
478	12170	13237
479	12193	13209
480	12219	13184
481	12245	13159
482	12268	13132
483	12292	13105
484	12316	13078
485	12341	13052
486	12366	13026
487	12392	13001
488	12417	12976
489	12442	12950
490	12466	12923
491	12491	12897
492	12517	12873
493	12542	12847
494	12567	12820
495	12592	12795
496	12617	12769
497	12640	12742
498	12681	12732
499	12705	12705
500	12730	12679
501	12753	12652
502	12824	12671
503	12856	12652
504	12885	12630
505	12910	12603
506	12936	12579
507	12964	12555
508	12988	12529
509	13012	12502
510	13036	12475
511	13059	12447
512	13083	12420
513	13107	12393
514	13131	12366
515	13155	12339
516	13179	12312
517	13204	12286
518	13230	12261
519	13254	12235
520	13279	12208
521	13312	12190
522	13348	12174
523	13382	12156
524	13412	12135
525	13437	12109
526	13474	12094
527	13498	12066
528	13522	12040
529	13546	12013
530	13569	11985
531	13594	11958
532	13618	11931
533	13641	11904
534	13665	11877
535	13689	11850
536	13712	11823
537	13736	11795
538	13760	11769
539	13788	11746
540	13814	11720
541	13880	11729
542	13909	11706
543	13935	11681
544	13961	11655
545	13987	11630
546	14011	11603
547	14035	11576
548	14060	11550
549	14085	11524
550	14109	11497
551	14134	11471
552	14157	11443
553	14181	11416
554	14206	11390
555	14236	11369
556	14264	11344
557	14291	11320
558	14319	11296
559	14346	11272
560	14372	11246
561	14397	11220
562	14423	11195
563	14450	11170
564	14477	11146
565	14504	11121
566	14532	11098
567	14558	11072
568	14584	11047
569	14609	11021
570	14637	10997
571	14660	10970
572	14684	10943
573	14709	10916
574	14733	10890
575	14759	10864
576	14783	10837
577	14813	10815
578	14836	10787
579	14861	10761
580	14959	10788
581	14986	10763
582	15012	10738
583	15039	10712
584	15064	10686
585	15088	10660
586	15111	10632
587	15135	10605
588	15159	10578
589	15183	10551
590	15208	10524
591	15234	10499
592	15257	10471
593	15281	10445
594	15308	10420
595	15333	10393
596	15361	10369
597	15389	10345
598	15415	10319
599	15441	10294
600	15467	10268
601	15493	10243
602	15520	10218
603	15546	10192
604	15573	10168
605	15598	10141
606	15622	10114
607	15647	10088
608	15671	10061
609	15696	10035
610	15720	10008
611	15743	9981
612	15767	9954
613	15791	9927
614	15815	9900
615	15839	9873
616	15864	9847
617	15887	9820
618	15912	9794
619	15952	9777
620	15984	9755
621	16047	9752
622	16073	9726
623	16101	9701
624	16125	9675
625	16150	9649
626	16175	9622
627	16199	9595
628	16221	9568
629	16246	9541
630	16271	9515
631	16295	9488
632	16320	9462
633	16344	9435
634	16368	9408
635	16394	9382
636	16419	9357
637	16444	9330
638	16469	9304
639	16493	9277
640	16517	9251
641	16542	9224
642	16567	9198
643	16592	9172
644	16619	9147
645	16644	9121
646	16669	9094
647	16692	9067
648	16717	9041
649	16742	9015
650	16765	8987
651	16792	8962
652	16817	8936
653	16843	8910
654	16866	8883
655	16891	8857
656	16914	8830
657	16941	8805
658	16966	8779
659	16990	8752
660	17014	8725
661	17086	8723
662	17111	8697
663	17139	8672
664	17163	8646
665	17188	8619
666	17213	8593
667	17238	8567
668	17262	8541
669	17288	8515
670	17312	8488
671	17336	8462
672	17360	8435
673	17384	8408
674	17408	8381
675	17431	8354
676	17455	8328
677	17478	8301
678	17502	8274
679	17526	8247
680	17551	8221
681	17576	8195
682	17600	8168
683	17624	8142
684	17649	8116
685	17674	8090
686	17698	8063
687	17723	8037
688	17747	8010
689	17771	7984
690	17796	7958
691	17821	7932
692	17844	7905
693	17868	7878
694	17892	7852
695	17915	7825
696	17940	7798
697	17964	7772
698	17988	7745
699	18011	7719
700	18035	7692
701	18059	7666
702	18087	7641
703	18152	7632
704	18181	7608
705	18216	7585
706	18242	7560
707	18269	7534
708	18294	7508
709	18322	7483
710	18346	7457
711	18371	7430
712	18394	7404
713	18420	7378
714	18445	7352
715	18472	7326
716	18499	7301
717	18525	7276
718	18552	7250
719	18579	7225
720	18606	7200
721	18635	7175
722	18661	7149
723	18690	7124
724	18729	7104
725	18757	7079
726	18782	7053
727	18812	7028
728	18839	7003
729	18867	6978
730	18893	6952
731	18918	6926
732	18945	6901
733	18969	6874
734	18994	6848
735	19019	6822
736	19045	6796
737	19069	6769
738	19094	6743
739	19118	6717
740	19146	6692
741	19217	6681
742	19248	6658
743	19279	6633
744	19305	6608
745	19333	6582
746	19359	6556
747	19385	6530
748	19411	6505
749	19438	6479
750	19465	6453
751	19490	6427
752	19514	6401
753	19539	6374
754	19563	6348
755	19587	6321
756	19610	6295
757	19633	6268
758	19657	6241
759	19683	6215
760	19707	6189
761	19731	6162
762	19756	6136
763	19782	6110
764	19810	6085
765	19834	6059
766	19858	6032
767	19882	6006
768	19906	5979
769	19932	5953
770	19955	5927
771	19978	5900
772	20002	5873
773	20026	5847
774	20051	5821
775	20074	5794
776	20098	5768
777	20123	5742
778	20150	5716
779	20174	5690
780	20198	5663
781	20271	5651
782	20300	5626
783	20327	5600
784	20351	5573
785	20375	5547
786	20399	5521
787	20423	5494
788	20448	5468
789	20473	5442
790	20497	5415
791	20521	5389
792	20545	5362
793	20569	5336
794	20593	5310
795	20620	5284
796	20646	5258
797	20669	5232
798	20696	5206
799	20719	5179
800	20743	5153
801	20767	5127
802	20798	5102
803	20823	5076
804	20847	5050
805	20872	5023
806	20896	4997
807	20923	4971
808	20947	4945
809	20971	4919
810	20996	4893
811	21020	4866
812	21044	4840
813	21070	4814
814	21093	4788
815	21117	4761
816	21141	4735
817	21164	4708
818	21189	4682
819	21213	4656
820	21237	4630
821	21261	4604
822	21366	4595
823	21397	4570
824	21426	4544
825	21449	4518
826	21472	4491
827	21496	4465
828	21521	4439
829	21546	4413
830	21570	4386
831	21593	4360
832	21617	4333
833	21640	4307
834	21665	4281
835	21689	4254
836	21712	4228
837	21736	4202
838	21761	4175
839	21785	4149
840	21808	4123
841	21833	4096
842	21857	4070
843	21881	4044
844	21908	4018
845	21933	3992
846	21957	3966
847	21981	3940
848	22005	3913
849	22030	3887
850	22055	3861
851	22080	3835
852	22103	3809
853	22127	3782
854	22151	3756
855	22177	3730
856	22201	3704
857	22225	3678
858	22249	3652
859	22274	3626
860	22299	3599
861	22323	3573
862	22347	3547
863	22370	3521
864	22444	3502
865	22472	3477
866	22501	3451
867	22528	3425
868	22556	3400
869	22583	3374
870	22612	3348
871	22638	3323
872	22665	3297
873	22693	3271
874	22719	3245
875	22746	3219
876	22771	3193
877	22799	3167
878	22824	3141
879	22848	3115
880	22872	3089
881	22898	3063
882	22922	3037
883	22952	3011
884	22977	2985
885	23002	2959
886	23027	2933
887	23052	2907
888	23076	2881
889	23103	2855
890	23129	2829
891	23155	2803
892	23179	2777
893	23203	2751
894	23226	2724
895	23251	2698
896	23275	2672
897	23300	2646
898	23325	2620
899	23349	2594
900	23374	2568
901	23398	2542
902	23421	2515
903	23493	2494
904	23524	2469
905	23552	2443
906	23576	2417
907	23600	2391
908	23624	2365
909	23648	2338
910	23672	2312
911	23696	2286
912	23720	2260
913	23744	2234
914	23770	2208
915	23795	2182
916	23818	2155
917	23843	2129
918	23867	2103
919	23892	2077
920	23918	2051
921	23943	2025
922	23966	1999
923	23992	1973
924	24016	1947
925	24041	1921
926	24065	1895
927	24089	1869
928	24114	1842
929	24138	1816
930	24166	1791
931	24193	1765
932	24221	1739
933	24248	1713
934	24276	1687
935	24305	1661
936	24333	1636
937	24361	1610
938	24387	1584
939	24415	1558
940	24441	1532
941	24467	1506
942	24492	1480
943	24568	1457
944	24595	1431
945	24621	1405
946	24645	1379
947	24672	1353
948	24699	1327
949	24725	1301
950	24752	1275
951	24781	1249
952	24809	1223
953	24837	1197
954	24864	1171
955	24896	1145
956	24922	1119
957	24947	1093
958	24972	1067
959	24998	1041
960	25023	1015
961	25049	989
962	25074	963
963	25099	937
964	25123	911
965	25147	885
966	25172	859
967	25195	832
968	25220	806
969	25244	780
970	25269	754
971	25295	728
972	25321	702
973	25348	676
974	25378	650
975	25405	624
976	25432	598
977	25458	572
978	25484	546
979	25510	520
980	25536	494
981	25562	468
982	25642	443
983	25670	417
984	25700	391
985	25725	365
986	25750	339
987	25774	313
988	25798	286
989	25823	260
990	25850	234
991	25877	208
992	25902	182
993	25927	156
994	25953	130
995	25980	104
996	26006	78
997	26031	52
998	26057	26
999	26082	0
