iter	Logloss	Accuracy	F1
0	0.6739988153	0.8083832335	0.6831683168
1	0.658901298	0.8053892216	0.6733668342
2	0.6421502329	0.8293413174	0.7348837209
3	0.6297275936	0.8203592814	0.7235023041
4	0.6147184481	0.8308383234	0.7402298851
5	0.6017730091	0.8293413174	0.7348837209
6	0.588530858	0.8383233533	0.7534246575
7	0.5783200316	0.8353293413	0.7488584475
8	0.5665894651	0.8293413174	0.7361111111
9	0.5575381153	0.8293413174	0.7348837209
10	0.5491044966	0.8308383234	0.7378190255
11	0.5423887152	0.8338323353	0.7471526196
12	0.5354629406	0.8323353293	0.7442922374
13	0.5283279488	0.8278443114	0.7356321839
14	0.5217500657	0.8278443114	0.7356321839
15	0.5157272476	0.8248502994	0.7322654462
16	0.5089750124	0.8248502994	0.7285382831
17	0.5032450866	0.8263473054	0.7351598174
18	0.4970473099	0.8248502994	0.7322654462
19	0.4921670284	0.8233532934	0.7305936073
20	0.4874681132	0.8233532934	0.7305936073
21	0.4846682935	0.8233532934	0.7318181818
22	0.4800380917	0.8203592814	0.7272727273
23	0.4752794238	0.8233532934	0.7318181818
24	0.4716137142	0.8263473054	0.7375565611
25	0.4688795262	0.8248502994	0.7358916479
26	0.4646352332	0.8248502994	0.7358916479
27	0.4622311315	0.8248502994	0.7382550336
28	0.4584012853	0.8248502994	0.7382550336
29	0.4535303567	0.8278443114	0.7415730337
30	0.4507849239	0.8278443114	0.7404063205
31	0.4497373858	0.8308383234	0.7425968109
32	0.4480931231	0.8353293413	0.7488584475
33	0.4446326156	0.8353293413	0.7488584475
34	0.4425685369	0.8323353293	0.7454545455
35	0.4410079647	0.8368263473	0.7505720824
36	0.4385622868	0.8368263473	0.7505720824
37	0.4363623632	0.8353293413	0.7488584475
38	0.4346194705	0.8368263473	0.7505720824
39	0.4331799903	0.8368263473	0.7482678984
40	0.4304897428	0.8353293413	0.7453703704
41	0.4283414782	0.8368263473	0.7482678984
42	0.4265080448	0.8368263473	0.7482678984
43	0.4255831303	0.8323353293	0.7395348837
44	0.4252894749	0.8308383234	0.7365967366
45	0.4232906533	0.8308383234	0.7365967366
46	0.4219784535	0.8308383234	0.7365967366
47	0.420393984	0.8308383234	0.7365967366
48	0.4194225072	0.8293413174	0.7336448598
49	0.4179930292	0.8293413174	0.7336448598
50	0.4167287161	0.8293413174	0.7336448598
51	0.4155112345	0.8293413174	0.7336448598
52	0.4145264333	0.8323353293	0.7395348837
53	0.4129347692	0.8308383234	0.7365967366
54	0.4113961848	0.8338323353	0.7424593968
55	0.4097376576	0.8338323353	0.7424593968
56	0.408838041	0.8353293413	0.7453703704
57	0.4069747539	0.8353293413	0.7453703704
58	0.4051130873	0.8353293413	0.7453703704
59	0.4047833055	0.8353293413	0.7453703704
60	0.4037233247	0.8368263473	0.7482678984
61	0.402034606	0.8383233533	0.7511520737
62	0.3996694744	0.8383233533	0.7511520737
63	0.3985631714	0.8398203593	0.752886836
64	0.3975079492	0.8428143713	0.7586206897
65	0.3968875706	0.8413173653	0.7557603687
66	0.3962620472	0.8428143713	0.7586206897
67	0.3956377643	0.8428143713	0.7586206897
68	0.3938460376	0.8443113772	0.7603686636
69	0.3928598838	0.8458083832	0.7632183908
70	0.3926053824	0.8443113772	0.7603686636
71	0.3913051104	0.8443113772	0.7603686636
72	0.3909012147	0.8443113772	0.7603686636
73	0.3907597724	0.8443113772	0.7603686636
74	0.3903216335	0.8443113772	0.7603686636
75	0.3888746245	0.8458083832	0.7632183908
76	0.388487543	0.8458083832	0.7632183908
77	0.3867381353	0.8458083832	0.7632183908
78	0.3858845416	0.8473053892	0.7660550459
79	0.3849722949	0.8488023952	0.7688787185
80	0.3832012803	0.8473053892	0.7660550459
81	0.3820907769	0.8488023952	0.7688787185
82	0.3811521625	0.8488023952	0.7688787185
