iter	Passed	Remaining
0	23	23524
1	38	19073
2	61	20286
3	80	20070
4	102	20381
5	124	20598
6	146	20793
7	169	21000
8	191	21121
9	216	21423
10	249	22463
11	266	21908
12	284	21621
13	303	21374
14	325	21362
15	346	21324
16	372	21552
17	395	21570
18	417	21580
19	435	21359
20	461	21505
21	484	21536
22	508	21603
23	535	21776
24	558	21786
25	571	21415
26	595	21475
27	608	21139
28	632	21190
29	658	21305
30	681	21308
31	698	21133
32	721	21147
33	744	21154
34	767	21168
35	789	21146
36	815	21236
37	839	21257
38	855	21085
39	878	21090
40	904	21146
41	928	21176
42	953	21213
43	977	21238
44	986	20941
45	1009	20926
46	1032	20928
47	1056	20962
48	1077	20905
49	1102	20949
50	1129	21008
51	1153	21035
52	1178	21060
53	1205	21122
54	1229	21129
55	1253	21137
56	1278	21146
57	1302	21150
58	1328	21186
59	1345	21085
60	1371	21106
61	1395	21114
62	1418	21099
63	1442	21101
64	1468	21119
65	1491	21105
66	1511	21044
67	1534	21032
68	1560	21051
69	1583	21043
70	1593	20846
71	1615	20823
72	1638	20806
73	1662	20802
74	1687	20812
75	1710	20797
76	1733	20779
77	1758	20786
78	1784	20803
79	1804	20748
80	1827	20739
81	1850	20718
82	1874	20709
83	1897	20689
84	1920	20668
85	1928	20498
86	1950	20469
87	1974	20462
88	2000	20481
89	2024	20471
90	2048	20463
91	2071	20448
92	2084	20328
93	2107	20315
94	2131	20301
95	2155	20293
96	2178	20282
97	2199	20248
98	2225	20257
99	2238	20146
100	2246	19998
101	2269	19977
102	2291	19956
103	2316	19959
104	2339	19943
105	2352	19840
106	2375	19825
107	2384	19698
108	2408	19685
109	2434	19697
110	2444	19580
111	2470	19585
112	2494	19582
113	2518	19577
114	2543	19571
115	2566	19559
116	2590	19546
117	2609	19503
118	2633	19498
119	2657	19491
120	2682	19487
121	2706	19479
122	2731	19475
123	2756	19474
124	2780	19461
125	2804	19450
126	2829	19447
127	2858	19474
128	2864	19337
129	2887	19326
130	2912	19317
131	2936	19308
132	2961	19308
133	2978	19249
134	2990	19163
135	3014	19152
136	3039	19149
137	3065	19147
138	3088	19128
139	3112	19119
140	3135	19102
141	3158	19085
142	3174	19024
143	3197	19006
144	3220	18988
145	3244	18975
146	3269	18969
147	3292	18956
148	3317	18945
149	3340	18927
150	3363	18910
151	3386	18894
152	3411	18883
153	3433	18864
154	3456	18843
155	3481	18837
156	3507	18831
157	3531	18817
158	3540	18728
159	3563	18709
160	3580	18657
161	3603	18642
162	3627	18628
163	3651	18613
164	3656	18504
165	3679	18485
166	3714	18530
167	3725	18448
168	3750	18443
169	3775	18433
170	3802	18432
171	3827	18426
172	3852	18418
173	3876	18402
174	3898	18380
175	3921	18361
176	3947	18354
177	3964	18308
178	3988	18292
179	4011	18275
180	4035	18258
181	4058	18242
182	4082	18225
183	4105	18208
184	4130	18196
185	4139	18116
186	4163	18101
187	4173	18024
188	4197	18010
189	4219	17989
190	4242	17968
191	4264	17946
192	4287	17927
193	4310	17907
194	4333	17888
195	4356	17872
196	4380	17857
197	4407	17854
198	4431	17838
199	4455	17822
200	4479	17806
201	4503	17790
202	4512	17716
203	4535	17696
204	4557	17675
205	4566	17601
206	4589	17581
207	4604	17530
208	4628	17516
209	4644	17473
210	4670	17465
211	4695	17453
212	4712	17411
213	4736	17397
214	4762	17386
215	4786	17371
216	4810	17359
217	4837	17351
218	4862	17339
219	4886	17323
220	4898	17265
221	4920	17244
222	4929	17176
223	4952	17157
224	4976	17140
225	5001	17127
226	5027	17118
227	5053	17110
228	5079	17101
229	5088	17036
230	5113	17024
231	5126	16971
232	5150	16954
233	5174	16937
234	5197	16918
235	5220	16900
236	5243	16880
237	5268	16868
238	5291	16849
239	5316	16836
240	5341	16823
241	5367	16813
242	5392	16799
243	5401	16737
244	5425	16718
245	5449	16703
246	5476	16696
247	5500	16679
248	5523	16660
